Vehicle_ID,Epoch_ms,Veh_Velocity,Lane_ID,Org_Zone,Dest_Zone,Intersection,Movement,Avg_Velocity,Max_Velocity,Movement_Last,Intersection_Last,Interarrival,Leave_Time
1136,1163662200,2.1,9999,123,223,1,2,2.532680412371133,20.11,2,1,0.0,1163681500
1142,1163663900,25.76,1,101,215,0,1,15.561375000000115,44.28,2,5,1700.0,1163791800
1140,1163664100,16.92,0,115,214,5,2,16.415555555555553,16.92,2,6,200.0,1163665800
1147,1163668300,32.76,1,101,214,0,1,14.734065040650163,47.49,1,6,4200.0,1163803500
1152,1163669600,35.15,1,101,214,0,1,14.894898403483504,41.6,1,6,1300.0,1163807300
1155,1163674000,37.91,1,101,214,0,1,14.636711111111271,42.63,1,6,4400.0,1163808900
1157,1163674000,30.49,1,101,214,0,1,14.80335029069756,40.93,1,6,0.0,1163811500
1165,1163683000,41.89,1,101,214,0,1,15.499541634835914,46.46,1,6,9000.0,1163813800
1168,1163683400,21.15,1,120,215,4,1,11.694441624365567,36.71,2,5,400.0,1163722700
1170,1163685700,18.35,1,101,214,0,1,8.944254850088184,46.48,1,6,2300.0,1163912400
1173,1163687000,21.84,2,101,214,0,1,16.671359934853413,52.12,1,6,1300.0,1163809700
1176,1163688900,11.31,1,101,215,0,1,10.085644264780372,51.58,2,5,1900.0,1163886700
1182,1163694600,14.62,0,123,214,1,2,14.468778625954217,41.1,1,6,5700.0,1163825500
1187,1163697100,15.45,0,123,222,1,2,6.242789934354492,37.84,2,2,2500.0,1163788400
1190,1163697300,13.48,1,111,215,4,3,9.04621468926552,44.22,2,5,200.0,1163785700
1192,1163699200,21.87,0,123,214,1,2,15.213235772357729,51.69,1,6,1900.0,1163822100
1198,1163703900,16.37,2,112,214,4,1,32.259925373134315,41.4,1,6,4700.0,1163717200
1225,1163715800,0.06,2,101,202,0,1,1.450083857442349,15.3,3,1,11900.0,1163763400
1232,1163718400,15.02,3,102,214,1,1,9.616555844155961,47.27,1,6,2600.0,1163910800
1237,1163722100,17.07,0,121,214,3,2,10.857401273885362,40.86,1,6,3700.0,1163800500
1246,1163723100,14.62,2,113,214,5,3,14.62,14.62,3,6,1000.0,1163723100
1253,1163726600,14.94,0,113,214,5,3,14.668000000000003,14.94,3,6,3500.0,1163728000
1263,1163731500,20.73,0,113,214,5,3,20.73,20.73,1,6,4900.0,1163731800
1262,1163732500,19.88,0,123,210,1,2,11.416448184233841,43.64,1,4,1000.0,1163845300
1266,1163735100,20.36,3,113,214,5,3,20.36,20.36,3,6,2600.0,1163735400
1265,1163735800,15.22,0,115,214,5,2,17.60695652173913,26.44,1,6,700.0,1163738000
1269,1163737700,15.48,0,115,214,5,2,16.777058823529412,22.24,2,6,1900.0,1163739300
1271,1163738100,26.85,1,120,215,4,1,9.74879377431902,35.56,2,5,400.0,1163789400
1274,1163739300,18.43,9999,123,223,1,2,19.613846153846154,26.0,2,1,1200.0,1163741800
1272,1163740100,18.61,0,115,214,5,2,17.997333333333337,18.61,2,6,800.0,1163741500
1275,1163740300,16.68,11,101,223,0,1,19.26690476190476,25.64,2,1,200.0,1163744400
1278,1163740300,14.78,11,101,223,0,1,17.21365079365079,21.78,2,1,0.0,1163746500
1281,1163743600,14.39,0,115,214,5,2,15.88888888888889,19.25,1,6,3300.0,1163746200
1280,1163743600,18.29,0,115,214,5,2,18.082499999999996,18.29,2,6,0.0,1163744300
1285,1163747200,12.92,0,115,214,5,2,14.25321428571428,15.91,2,6,3600.0,1163749900
1289,1163748600,1.02,2,101,214,0,1,12.66593984962445,52.25,1,6,1400.0,1163908100
1288,1163749100,14.14,0,115,214,5,2,13.41727272727273,14.14,2,6,500.0,1163751200
1300,1163750700,26.84,11,101,223,0,1,28.517692307692304,30.64,1,1,1600.0,1163753200
1303,1163751800,14.44,0,102,215,1,3,13.656714285714314,50.77,2,5,1100.0,1163884700
1306,1163753200,12.74,0,113,214,5,3,12.74,12.74,3,6,1400.0,1163753500
1308,1163753900,2.64,2,101,214,0,1,12.937103580562583,49.28,1,6,700.0,1163910200
1311,1163754300,20.72,1,101,214,0,1,12.798886815920293,42.7,1,6,400.0,1163915000
1314,1163760600,31.55,2,122,215,2,1,10.41197368421053,52.25,2,5,6300.0,1163882100
1318,1163761500,43.54,1,101,222,0,1,19.19892183288408,46.78,2,2,900.0,1163798500
1320,1163762900,8.89,0,112,214,4,3,8.152420262664135,37.97,1,6,1400.0,1163816100
1322,1163762900,37.37,11,101,223,0,1,15.950714285714303,37.39,2,1,0.0,1163774000
1331,1163768000,51.3,1,101,214,0,1,13.73402882635547,51.59,1,6,5100.0,1163913600
1333,1163770100,19.68,0,115,214,5,2,22.10842105263158,24.43,1,6,2100.0,1163771900
1336,1163770400,13.42,0,112,214,4,3,8.82294354838714,35.28,1,6,300.0,1163819900
1343,1163770800,49.19,1,101,214,0,1,14.047813351498649,51.43,1,6,400.0,1163917500
1340,1163773700,17.68,0,115,214,5,2,17.333,18.08,2,6,2900.0,1163774600
1349,1163776200,20.89,1,105,214,3,1,29.84993750000005,51.69,1,6,2500.0,1163808100
1350,1163777200,21.62,3,102,214,1,3,13.73273871206547,51.47,1,6,1000.0,1163912200
1364,1163793500,23.02,0,123,214,1,2,14.67170111287745,52.5,1,6,16300.0,1163919200
1369,1163796600,26.6,0,123,214,1,2,14.88772908366523,50.87,1,6,3100.0,1163922000
1351,1163797300,25.23,1,121,214,3,1,39.9127619047619,47.78,1,6,700.0,1163818200
1382,1163798900,27.94,0,123,215,1,2,13.842482967449003,51.83,2,5,1600.0,1163930900
1387,1163801100,17.53,0,123,214,1,2,15.167883211678847,53.24,1,6,2200.0,1163924300
1390,1163803000,25.85,0,123,214,1,2,15.16359514170036,43.44,1,6,1900.0,1163926400
1394,1163804600,17.33,0,111,214,4,3,37.08777292576421,48.13,1,6,1600.0,1163827400
1431,1163814000,13.27,3,102,214,1,3,17.791556650246317,52.88,1,6,9400.0,1163915400
1424,1163815000,10.53,1,111,214,4,1,8.124700460829505,38.82,1,6,1000.0,1163901700
1440,1163817300,14.18,0,111,214,4,3,9.363403083700307,29.97,1,6,2300.0,1163908000
1442,1163818500,12.72,0,112,214,4,3,35.35336065573773,45.6,1,6,1200.0,1163830600
1452,1163820600,21.44,3,102,214,1,1,10.028340611353752,47.36,1,6,2100.0,1164003700
1459,1163824100,9.72,3,102,221,1,3,7.71433614735246,43.13,2,3,3500.0,1163954300
1468,1163831000,19.78,3,113,214,5,3,19.649166666666662,19.78,1,6,6900.0,1163832100
1473,1163834000,17.22,3,102,214,1,3,11.239257694628652,47.64,1,6,3000.0,1163999600
1476,1163834500,9.0,1,101,214,0,1,12.389058823529544,44.71,1,6,500.0,1163995900
1479,1163839000,12.93,0,115,214,5,2,12.200000000000003,12.93,2,6,4500.0,1163840300
1483,1163839200,14.19,1,101,214,0,1,12.192838557066978,43.92,1,6,200.0,1164008200
1490,1163841000,10.73,11,101,223,0,1,15.401481481481486,19.63,2,1,1800.0,1163846300
1489,1163841000,21.93,9999,123,223,1,2,26.396538461538455,31.4,1,1,0.0,1163843500
1480,1163841200,2.84,0,113,214,5,3,2.8337142857142847,2.84,3,6,200.0,1163844600
1492,1163843300,21.95,0,115,214,5,2,18.0064705882353,23.83,2,6,2100.0,1163844900
1497,1163844600,8.05,2,101,202,0,1,8.9306976744186,20.82,1,1,1300.0,1163853100
1495,1163846000,18.64,0,115,214,5,2,18.473333333333333,18.64,2,6,1400.0,1163846800
1504,1163848300,17.3,0,113,214,5,3,17.259000000000004,17.3,3,6,2300.0,1163849200
1505,1163850600,19.27,0,113,214,5,3,18.733999999999995,19.27,1,6,2300.0,1163851500
1523,1163858700,17.71,1,112,214,4,3,7.858065099457511,30.91,1,6,8100.0,1163913900
1524,1163860200,14.86,11,120,215,4,1,17.280459363957586,26.34,2,5,1500.0,1163888400
1525,1163861200,12.61,0,113,214,5,3,12.493,12.61,3,6,1000.0,1163862100
1538,1163875900,22.58,0,115,214,5,2,22.942666666666657,23.98,2,6,14700.0,1163877300
1540,1163878000,19.08,11,101,223,0,1,2.3202507836990605,26.49,2,1,2100.0,1163941700
1543,1163893700,22.07,0,123,214,1,2,17.959615014436945,51.97,1,6,15700.0,1163997500
1549,1163896300,16.41,0,111,214,4,3,27.68428571428573,43.56,1,6,2600.0,1163927000
1558,1163899700,17.0,1,101,215,0,1,15.123254573170682,51.31,2,5,3400.0,1164030800
1622,1163919400,20.21,1,103,222,2,1,20.347857142857137,22.3,1,2,19700.0,1163923500
1621,1163921600,14.96,0,102,214,1,3,20.74202234636879,51.42,1,6,2200.0,1164011000
1640,1163927600,16.38,0,102,214,1,3,22.653121175030577,52.74,1,6,6000.0,1164009200
1507,1163950300,13.11,2,115,214,5,1,20.75372513562372,49.02,2,6,22700.0,1164005500
